rowLabel	nucleusstarttime	nucleusendtime	nucleusdur	medianpitch	meanpitch	startpitch	endpitch	lopitch	hipitch	dynamic	intrasyllab	intrasyllabup	intersyllab	trajectory	internucleusdur	syllabledur	pausedur	loudness	endtime_syll	promL2R1D_sylldur	promL2R1D_meanpitch	hesitation
4.331	4.3305625	4.375562499999999	0.04499999999999904	290.6253430031316	98.14608618927082	290	290	290	290.6253430031316	0	-0.476095276228936	0	6.074327471007173	0.476095276228936	0.17950000000000177	0.16000000000000014	0.00050000000000149925	0	4.376062500000001	0	0	0
4.376	4.376062500000001	4.481062499999998	0.10499999999999776	281.9146452997911	97.08701607376881	281	281	281	281.9146452997911	0	-2.9684673750697392	0	-0.5268250416016653	2.9684673750697392	0.00050000000000149925	0.10999999999999943	0.14450000000000252	0	4.4860625	0	0	0
4.626	4.625562500000001	4.705562499999999	0.0799999999999983	266.42895287132956	96.54788093110909	266	266	266	266.42895287132956	0	1.0872282870008068	1.0872282870008068	-0.9780906985674012	1.0872282870008068	0.14450000000000252	0.21999999999999975	0.07500000000000107	0	4.7060625	0	0	0
4.781	4.7805625	4.8155624999999995	0.034999999999999254	215.24066090820318	92.81857998182427	215	215	215	215.24066090820318	0	-1.9581161873554576	0	-3.6936027241542857	1.9581161873554576	0.07500000000000107	0.11000000000000032	0.10000000000000053	0	4.8160625	0	0	0
4.916	4.9155625	5.015562499999998	0.09999999999999787	227.71596794952995	93.81001341421839	227	227	227	227.71596794952995	0	1.1434778456059973	1.1434778456059973	0.9754178186010487	1.1434778456059973	0.10000000000000053	0.20000000000000018	0.10000000000000231	0	5.0160625	0	0	0
5.116	5.1155625	5.155562499999999	0.03999999999999915	203.89596299591526	91.95015526970904	203	203	203	203.89596299591526	0	-2.1075071244473498	0	-1.912826985181765	2.1075071244473498	0.10000000000000231	0.13999999999999968	0.0005000000000006111	0	5.1560625	0	0	0
5.156	5.1560625	5.2710624999999975	0.11499999999999755	176.35590236114024	89.73693010556282	176	176	176	176.35590236114024	0	-2.225512532240398	0	-2.512120198543753	2.225512532240398	0.0005000000000006111	0.39000000000000057	0.9095000000000031	0	5.546062500000001	0	0	0
6.181	6.180562500000001	6.2205625	0.03999999999999915	214.4262355992145	92.91520502124638	214	214	214	214.4262355992145	0	-0.16555149908408998	0	3.383898872042561	0.16555149908408998	0.9095000000000031	0.1299999999999999	0.11000000000000032	0	6.2240625000000005	0	0	0
6.331	6.3305625	6.400562499999999	0.06999999999999851	248.31504365649292	95.45087181642592	248	248	248	248.31504365649292	0	0.3892558054411717	0.3892558054411717	2.5402827941605786	0.3892558054411717	0.11000000000000032	0.17999999999999972	0.12000000000000188	0	6.4040625	0	0	0
6.521	6.5205625000000005	6.600562499999999	0.0799999999999983	296.7153415502684	97.82965251206289	296	296	296	296.7153415502684	0	-2.7524191307963766	0	3.0828942702186715	2.7524191307963766	0.12000000000000188	0.20000000000000018	0.07000000000000206	0	6.6040625	0	0	0
