rowLabel	nucleusstarttime	nucleusendtime	nucleusdur	medianpitch	meanpitch	startpitch	endpitch	lopitch	hipitch	dynamic	intrasyllab	intrasyllabup	intersyllab	trajectory	internucleusdur	syllabledur	pausedur	loudness	endtime_syll	promL2R1D_sylldur	promL2R1D_meanpitch	hesitation	dynamics	syllabic_interval	syllable_type	has_nucleus	pausebefore	pauseafter	nucleus_ctr	delivery	if	promauto	prommanu	eval	promF0rel	promDURrel	promMVT	promF0weight	promDURweight	promF0rel_th	promDURrel_th	promMVT_th	promPAUSE_th	promCUM	promGRAD	file	style	geo	npho	sylldurbynpho	bomu	eomu	mu_label	word	w_nbwords	w_lex	w_nbsyll	w_possylldeb	w_possyllfin	w_gra	w_pre	w_contexte	z_pre	z_post	pds	pause_label	pause_type	rgr_label	rgr_pos	seq_label	seq_pos	urc_label	urc_pos	syllabledurlog10
no~	4.036062500000001	4.151062499999998	0.11499999999999755	239.46051629977958	94.93319641386353	281	204	204	281.787599163117	-1	-5.454877060504575	0	1.4854269219011147	5.454877060504575	0.04050000000000242	0.17999999999999972	0	0	4.2160625000000005	0	0	0	-5.454877060504575	21	2	1	0	0	0	?	?	0	0	1	-1.4498436146263032	0.978260869565215	-5.454877060504575	5	5	0	0	0	0	-0.7662974322194475	3	prince	pri	ce	2	0.08999999999999986	0	0	?	n'ont	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.2552725051033056
ply	4.3305625	4.375562499999999	0.04499999999999904	290.6253430031316	98.14608618927082	290	290	290	290.6253430031316	0	-0.476095276228936	0	6.074327471007173	0.476095276228936	0.17950000000000177	0.16000000000000014	0	0	4.376062500000001	0	0	0	0	22	2	1	0	0	0	?	?	1	1	1	2.075448413661448	1.0000000000000029	0	5	5	1	0	0	0	0.661605182638007	7	prince	pri	ce	3	0.05333333333333338	0	0	?	plus	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.204119982655925
l@	4.376062500000001	4.481062499999998	0.10499999999999776	281.9146452997911	97.08701607376881	281	281	281	281.9146452997911	0	-2.9684673750697392	0	-0.5268250416016653	2.9684673750697392	0.00050000000000149925	0.10999999999999943	0	0	4.4860625	0	0	0	0	23	2	1	0	0	0	?	?	0	0	1	0.22278994284414466	0.5851063829787208	0	5	5	0	0	0	0	-0.72923218964303	3	prince	pri	ce	2	0.054999999999999716	0	0	?	le	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.0413926851582227
ta~	4.625562500000001	4.705562499999999	0.0799999999999983	266.42895287132956	96.54788093110909	266	266	266	266.42895287132956	0	1.0872282870008068	1.0872282870008068	-0.9780906985674012	1.0872282870008068	0.14450000000000252	0.21999999999999975	0	0	4.7060625	0	0	0	0	24	2	1	0	0	0	?	?	0	0	1	0.956425271017693	1.8333333333333324	0	5	5	0	0	0	0	1.5420548679807249	8	prince	pri	ce	2	0.10999999999999988	0	0	?	temps	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.3424226808222057
d@	4.7805625	4.8155624999999995	0.034999999999999254	215.24066090820318	92.81857998182427	215	215	215	215.24066090820318	0	-1.9581161873554576	0	-3.6936027241542857	1.9581161873554576	0.07500000000000107	0.11000000000000032	0	0	4.8160625	0	0	0	0	25	2	1	0	0	0	?	?	0	0	1	-2.741980971060485	0.5789473684210548	0	5	5	0	0	0	0	-1.910854614256125	1	prince	pri	ce	2	0.05500000000000016	0	0	?	de	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.0413926851582263
Rje~	4.9155625	5.015562499999998	0.09999999999999787	227.71596794952995	93.81001341421839	227	227	227	227.71596794952995	0	1.1434778456059973	1.1434778456059973	0.9754178186010487	1.1434778456059973	0.10000000000000053	0.20000000000000018	0	0	5.0160625	0	0	0	0	26	2	1	0	0	0	?	?	0	0	1	0.5929431273832364	1.3888888888888904	0	5	5	0	0	0	0	0.6929186643706201	7	prince	pri	ce	3	0.06666666666666672	0	0	?	rien	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.3010299956639817
kO	5.1155625	5.155562499999999	0.03999999999999915	203.89596299591526	91.95015526970904	203	203	203	203.89596299591526	0	-2.1075071244473498	0	-1.912826985181765	2.1075071244473498	0.10000000000000231	0.13999999999999968	0	0	5.1560625	0	0	0	0	27	2	1	0	0	0	?	?	0	0	1	-0.03233813456829182	0.5426356589147268	0	5	5	0	0	0	0	-0.897487174680824	3	prince	pri	ce	2	0.06999999999999984	0	0	?	connaître	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.146128035678237
nEtR	5.1560625	5.2710624999999975	0.11499999999999755	176.35590236114024	89.73693010556282	176	176	176	176.35590236114024	0	-2.225512532240398	0	-2.512120198543753	2.225512532240398	0.0005000000000006111	0.39000000000000057	0	0	5.546062500000001	0	0	0	0	28	2	1	0	0.548	0	?	?	1	1	1	-2.833177878982667	2.437500000000006	0	3	3	0	1	0	0	1.003182719267793	7	prince	pri	ce	4	0.09750000000000014	0	1	?	connaître	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.5910646070265
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.548	0	0	6.094062500000001	0	0	0	--undefined--	29	0	0	0	0	0	?	?	_	_	_	0	0	0	?	?	0	0	0	0	?	?	prince	pri	ce	1	0.548	1	1	_	_	0	?	0	0	0	?	?	?	0	0	0	?	2	?	0	?	0	?	0	2.738780558484369
il	6.180562500000001	6.2205625	0.03999999999999915	214.4262355992145	92.91520502124638	214	214	214	214.4262355992145	0	-0.16555149908408998	0	3.383898872042561	0.16555149908408998	0.9095000000000031	0.1299999999999999	0	0	6.2240625000000005	0	0	0	0	30	2	1	0.548	0	0	?	?	0	0	1	-2.5356667951795373	0.7222222222222228	0	1	1	0	0	0	0	-1.6018871063058444	2	prince	pri	ce	2	0.06499999999999995	1	0	ils achètent des choses toutes faites chez les marchands	ils	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.1139433523068365
